Date,rDIS,rDIS_ex,rM_ex,rSmB,rHmL,rRmW,rCmA,rf,MoM
1/2/2015,0.144239134,0.144239134,0.0613,0.002,-0.0179,-0.0107,-0.0176,0,-0.0284
1/1/2015,-0.022018294,-0.022018294,-0.0311,-0.0087,-0.0348,0.0167,-0.0167,0,0.0384
1/12/2014,0.01816031,0.01816031,-0.0006,0.0288,0.0207,-0.0116,0.0088,0,0.0109
1/11/2014,0.012365861,0.012365861,0.0255,-0.0231,-0.03,0.014,0.0018,0,0.0106
1/10/2014,0.02639565,0.02639565,0.0252,0.0378,-0.017,-0.0047,-0.0016,0,0
1/9/2014,-0.009456976,-0.009456976,-0.0197,-0.0379,-0.0123,0.0113,-0.0051,0,0.0052
1/8/2014,0.046576658,0.046576658,0.0424,0.0029,-0.0059,-0.0063,-0.007,0,0.008
1/7/2014,0.00163274,0.00163274,-0.0204,-0.0425,0.0001,0.0094,0.0047,0,-0.0025
1/6/2014,0.020592773,0.020592773,0.0261,0.031,-0.0074,-0.0197,-0.0191,0,0.0067
1/5/2014,0.058860565,0.058860565,0.0206,-0.0189,-0.0027,0.001,-0.0108,0,0.0115
1/4/2014,-0.009116943,-0.009116943,-0.0019,-0.0415,0.0114,0.0348,0.0107,0,-0.0386
1/3/2014,-0.009157359,-0.009157359,0.0043,-0.0117,0.0509,0.0216,0.019,0,-0.0334
1/2/2014,0.112931941,0.112931941,0.0465,0.0015,-0.004,-0.0026,-0.0041,0,0.0207
1/1/2014,-0.03787398,-0.03787398,-0.0332,0.0057,-0.0209,-0.0399,-0.014,0,0.017
1/12/2013,0.083073273,0.083073273,0.0281,-0.0053,-0.0031,-0.0052,0.0007,0,0.0004
1/11/2013,0.02842991,0.02842991,0.0312,0.0133,0.0024,0.0014,0.0005,0,0.004
1/10/2013,0.063575943,0.063575943,0.0418,-0.0153,0.0114,0.027,0.0087,0,0.0015
1/9/2013,0.060167525,0.060167525,0.0377,0.0267,-0.0119,-0.0073,-0.0132,0,0.0296
1/8/2013,-0.059087346,-0.059087346,-0.0271,-0.0001,-0.0278,0.0062,-0.0216,0,0.0005
1/7/2013,0.023753001,0.023753001,0.0565,0.018,0.0056,-0.0146,0.0056,0,0.0175
1/6/2013,0.001109637,0.001109637,-0.012,0.0135,-0.0017,-0.0044,-0.0001,0,0.0059
1/5/2013,0.003819232,0.003819232,0.028,0.0206,0.026,-0.0166,-0.0078,0,-0.0178
1/4/2013,0.106338037,0.106338037,0.0155,-0.023,0.0062,0.0007,0.0047,0,0.0027
1/3/2013,0.040483474,0.040483474,0.0403,0.0083,-0.003,0.0017,0.0131,0,0.0197
